,Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,year
0,1,,657.81,651.79,678.53,,,679.15,700.82,,728.21,,,2019
1,2,694.77,,,672.56,678.71,,677.62,704.88,720.2,729.38,,812.13,2019
2,3,697.09,,,670.05,683.31,709.8,681.3,,724.72,727.8,,804.29,2019
3,4,697.64,655.39,656.57,667.55,,704.59,680.48,,725.69,719.53,735.05,802.44,2019
4,5,,653.8,659.07,666.32,,696.78,677.64,711.13,723.3,,736.66,796.75,2019
5,6,,652.78,657.49,,678.68,693.25,,721.7,717.52,,745.85,784.25,2019
6,7,688.42,653.9,658.4,,681.09,692.21,,716.35,,715.53,743.65,,2019
7,8,679.69,654.44,662.19,664.17,683.49,,683.12,718.55,,717.05,740.23,,2019
8,9,680.1,,,663.01,684.51,,685.83,710.98,711.22,722.28,,779.04,2019
9,10,678.09,,,663.15,686.43,692.28,688.88,,713.72,724.27,,771.29,2019
10,11,677.58,656.46,670.83,662.92,,697.34,685.4,,714.77,720.61,746.23,778.14,2019
11,12,,660.82,669.37,664.19,,693.6,683.38,712.04,714.39,,756.08,772.93,2019
12,13,,660.49,667.09,,685.67,694.89,,716.69,711.29,,783.72,768.69,2019
13,14,675.15,661.6,665.68,,693.04,696.25,,708.37,,712.98,794.51,,2019
14,15,674.95,665.9,670.62,660.67,692.33,,681.07,,,712.04,801.83,,2019
15,16,673.76,,,662.86,692.62,,,710.14,707.07,715.48,,766.76,2019
16,17,672.73,,,663.98,692.79,698.72,679.48,,709.81,718.69,,762.83,2019
17,18,671.37,663.98,669.39,660.48,,699.52,681.69,,,713.23,782.82,756.95,2019
18,19,,660.82,667.21,,,696.81,683.27,709.26,,,773.81,752.3,2019
19,20,,658.75,664.78,,696.61,693.99,,711.94,,,782.71,752.6,2019
20,21,670.1,654.52,666.13,,,684.19,,710.63,,709.71,797.17,,2019
21,22,672.42,654.33,665.12,662.27,697.23,,685.81,709.52,,723.52,795.14,,2019
22,23,672.26,,,663.91,696.7,,688.28,713.22,715.24,726.24,,749.83,2019
23,24,672.41,,,668.19,698.03,683.41,691.57,,722.17,726.15,,754.27,2019
24,25,672.14,651.36,676.6,672.83,,682.31,691.36,,721.92,723.43,795.94,,2019
25,26,,649.22,679.08,676.21,,678.32,694.16,716.4,727.08,,791.16,751.04,2019
26,27,,649.8,679.02,,694.84,680.06,,718.75,726.17,,793.49,746.66,2019
27,28,667.04,649.92,683.73,,696.46,679.86,,721.55,,725.87,806.3,,2019
28,29,671.29,,681.09,673.86,703.48,,696.62,724.2,,724.37,828.25,,2019
29,30,669.6,,,677.67,708.2,,697.22,720.65,725.68,726.34,,744.62,2019
30,31,666.76,,,,707.86,,699.98,,,,,,2019
