 Día Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic year
0 1 0.0 0.0 0.0 852.03 0.0 806.32 821.23 0.0 776.46 788.15 0.0 767.29 2020
1 2 748.74 0.0 818.32 863.81 0.0 796.46 816.29 0.0 770.59 785.04 771.92 760.16 2020
2 3 754.16 799.11 817.45 861.89 0.0 782.86 803.98 757.06 771.45 0.0 769.17 755.34 2020
3 4 0.0 790.92 809.81 0.0 837.92 769.13 0.0 761.34 773.71 0.0 758.53 752.03 2020
4 5 0.0 781.78 812.19 0.0 838.74 775.58 0.0 767.98 0.0 790.81 757.16 0.0 2020
5 6 758.49 776.99 823.28 863.99 832.84 0.0 801.46 774.82 0.0 794.34 752.01 0.0 2020
6 7 771.82 779.12 0.0 853.91 839.08 0.0 798.79 777.18 773.76 797.35 0.0 747.61 2020
7 8 773.12 0.0 0.0 842.05 836.27 764.97 793.88 0.0 773.24 795.05 0.0 0.0 2020
8 9 766.83 0.0 828.95 851.9 0.0 769.26 786.18 0.0 776.65 797.25 759.25 744.82 2020
9 10 764.69 788.8 841.06 0.0 0.0 771.96 781.74 784.28 767.87 0.0 753.75 739.45 2020
10 11 0.0 795.88 834.22 0.0 827.65 767.93 0.0 796.58 764.99 0.0 760.9 738.17 2020
11 12 0.0 792.48 835.48 0.0 826.05 784.65 0.0 793.61 0.0 0.0 757.42 0.0 2020
12 13 770.56 788.33 852.06 839.49 821.88 0.0 790.82 792.69 0.0 796.05 757.43 0.0 2020
13 14 777.66 795.12 0.0 844.57 820.38 0.0 788.22 793.32 768.34 797.66 0.0 733.55 2020
14 15 772.29 0.0 0.0 848.63 822.93 790.73 787.87 0.0 767.01 798.56 0.0 731.58 2020
15 16 772.01 0.0 836.66 859.31 0.0 796.87 0.0 0.0 760.01 801.91 766.7 734.23 2020
16 17 773.36 792.73 850.51 852.52 0.0 779.1 787.5 796.73 761.54 0.0 767.86 735.09 2020
17 18 0.0 791.95 855.09 0.0 823.86 798.53 0.0 803.4 0.0 0.0 767.05 723.44 2020
18 19 0.0 796.9 862.69 0.0 820.65 812.19 0.0 796.23 0.0 795.68 758.1 0.0 2020
19 20 771.38 797.4 867.83 849.45 819.08 0.0 787.26 784.25 0.0 788.27 758.62 0.0 2020
20 21 769.93 804.74 0.0 856.23 0.0 0.0 786.04 785.84 764.34 786.66 0.0 723.85 2020
21 22 770.5 0.0 0.0 862.06 806.17 817.33 777.66 0.0 772.83 784.07 0.0 730.7 2020
22 23 772.12 0.0 851.01 856.51 0.0 816.02 769.06 0.0 773.4 781.41 761.55 728.96 2020
23 24 771.94 809.82 861.07 858.87 0.0 817.9 767.17 790.88 781.44 0.0 765.96 716.25 2020
24 25 0.0 810.2 847.04 0.0 805.75 820.68 0.0 786.17 788.02 0.0 772.83 0.0 2020
25 26 0.0 807.96 843.96 0.0 803.74 813.25 0.0 784.44 0.0 777.72 771.68 0.0 2020
26 27 776.52 811.1 836.05 859.95 802.1 0.0 768.63 786.91 0.0 779.57 766.0 0.0 2020
27 28 787.86 816.26 0.0 856.76 816.47 0.0 768.81 784.27 787.15 772.05 0.0 710.26 2020
28 29 788.13 0.0 0.0 850.41 812.74 0.0 767.82 0.0 784.19 775.56 0.0 710.64 2020
29 30 788.18 0.0 835.23 836.62 0.0 816.36 759.18 0.0 784.46 770.45 766.69 711.24 2020
30 31 797.96 0.0 846.3 0.0 0.0 0.0 754.45 779.92 0.0 0.0 0.0 0.0 2020
