year;Mes;Día;value
2019;Ene;1;
2019;Ene;2;694.77
2019;Ene;3;697.09
2019;Ene;4;697.64
2019;Ene;5;
2019;Ene;6;
2019;Ene;7;688.42
2019;Ene;8;679.69
2019;Ene;9;680.1
2019;Ene;10;678.09
2019;Ene;11;677.58
2019;Ene;12;
2019;Ene;13;
2019;Ene;14;675.15
2019;Ene;15;674.95
2019;Ene;16;673.76
2019;Ene;17;672.73
2019;Ene;18;671.37
2019;Ene;19;
2019;Ene;20;
2019;Ene;21;670.1
2019;Ene;22;672.42
2019;Ene;23;672.26
2019;Ene;24;672.41
2019;Ene;25;672.14
2019;Ene;26;
2019;Ene;27;
2019;Ene;28;667.04
2019;Ene;29;671.29
2019;Ene;30;669.6
2019;Ene;31;666.76
2020;Ene;1;
2020;Ene;2;748.74
2020;Ene;3;754.16
2020;Ene;4;
2020;Ene;5;
2020;Ene;6;758.49
2020;Ene;7;771.82
2020;Ene;8;773.12
2020;Ene;9;766.83
2020;Ene;10;764.69
2020;Ene;11;
2020;Ene;12;
2020;Ene;13;770.56
2020;Ene;14;777.66
2020;Ene;15;772.29
2020;Ene;16;772.01
2020;Ene;17;773.36
2020;Ene;18;
2020;Ene;19;
2020;Ene;20;771.38
2020;Ene;21;769.93
2020;Ene;22;770.5
2020;Ene;23;772.12
2020;Ene;24;771.94
2020;Ene;25;
2020;Ene;26;
2020;Ene;27;776.52
2020;Ene;28;787.86
2020;Ene;29;788.13
2020;Ene;30;788.18
2020;Ene;31;797.96
2019;Feb;1;657.81
2019;Feb;2;
2019;Feb;3;
2019;Feb;4;655.39
2019;Feb;5;653.8
2019;Feb;6;652.78
2019;Feb;7;653.9
2019;Feb;8;654.44
2019;Feb;9;
2019;Feb;10;
2019;Feb;11;656.46
2019;Feb;12;660.82
2019;Feb;13;660.49
2019;Feb;14;661.6
2019;Feb;15;665.9
2019;Feb;16;
2019;Feb;17;
2019;Feb;18;663.98
2019;Feb;19;660.82
2019;Feb;20;658.75
2019;Feb;21;654.52
2019;Feb;22;654.33
2019;Feb;23;
2019;Feb;24;
2019;Feb;25;651.36
2019;Feb;26;649.22
2019;Feb;27;649.8
2019;Feb;28;649.92
2019;Feb;29;
2019;Feb;30;
2019;Feb;31;
2020;Feb;1;
2020;Feb;2;
2020;Feb;3;799.11
2020;Feb;4;790.92
2020;Feb;5;781.78
2020;Feb;6;776.99
2020;Feb;7;779.12
2020;Feb;8;
2020;Feb;9;
2020;Feb;10;788.8
2020;Feb;11;795.88
2020;Feb;12;792.48
2020;Feb;13;788.33
2020;Feb;14;795.12
2020;Feb;15;
2020;Feb;16;
2020;Feb;17;792.73
2020;Feb;18;791.95
2020;Feb;19;796.9
2020;Feb;20;797.4
2020;Feb;21;804.74
2020;Feb;22;
2020;Feb;23;
2020;Feb;24;809.82
2020;Feb;25;810.2
2020;Feb;26;807.96
2020;Feb;27;811.1
2020;Feb;28;816.26
2020;Feb;29;
2020;Feb;30;
2020;Feb;31;
2019;Mar;1;651.79
2019;Mar;2;
2019;Mar;3;
2019;Mar;4;656.57
2019;Mar;5;659.07
2019;Mar;6;657.49
2019;Mar;7;658.4
2019;Mar;8;662.19
2019;Mar;9;
2019;Mar;10;
2019;Mar;11;670.83
2019;Mar;12;669.37
2019;Mar;13;667.09
2019;Mar;14;665.68
2019;Mar;15;670.62
2019;Mar;16;
2019;Mar;17;
2019;Mar;18;669.39
2019;Mar;19;667.21
2019;Mar;20;664.78
2019;Mar;21;666.13
2019;Mar;22;665.12
2019;Mar;23;
2019;Mar;24;
2019;Mar;25;676.6
2019;Mar;26;679.08
2019;Mar;27;679.02
2019;Mar;28;683.73
2019;Mar;29;681.09
2019;Mar;30;
2019;Mar;31;
2020;Mar;1;
2020;Mar;2;818.32
2020;Mar;3;817.45
2020;Mar;4;809.81
2020;Mar;5;812.19
2020;Mar;6;823.28
2020;Mar;7;
2020;Mar;8;
2020;Mar;9;828.95
2020;Mar;10;841.06
2020;Mar;11;834.22
2020;Mar;12;835.48
2020;Mar;13;852.06
2020;Mar;14;
2020;Mar;15;
2020;Mar;16;836.66
2020;Mar;17;850.51
2020;Mar;18;855.09
2020;Mar;19;862.69
2020;Mar;20;867.83
2020;Mar;21;
2020;Mar;22;
2020;Mar;23;851.01
2020;Mar;24;861.07
2020;Mar;25;847.04
2020;Mar;26;843.96
2020;Mar;27;836.05
2020;Mar;28;
2020;Mar;29;
2020;Mar;30;835.23
2020;Mar;31;846.3
2019;Abr;1;678.53
2019;Abr;2;672.56
2019;Abr;3;670.05
2019;Abr;4;667.55
2019;Abr;5;666.32
2019;Abr;6;
2019;Abr;7;
2019;Abr;8;664.17
2019;Abr;9;663.01
2019;Abr;10;663.15
2019;Abr;11;662.92
2019;Abr;12;664.19
2019;Abr;13;
2019;Abr;14;
2019;Abr;15;660.67
2019;Abr;16;662.86
2019;Abr;17;663.98
2019;Abr;18;660.48
2019;Abr;19;
2019;Abr;20;
