;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Year
0;1.0;;;;852.03;;806.32;821.23;;776.46;788.15;;767.29;2020.0
1;2.0;748.74;;818.32;863.81;;796.46;816.29;;770.59;785.04;771.92;760.16;2020.0
2;3.0;754.16;799.11;817.45;861.89;;782.86;803.98;757.06;771.45;;769.17;755.34;2020.0
3;4.0;;790.92;809.81;;837.92;769.13;;761.34;773.71;;758.53;752.03;2020.0
4;5.0;;781.78;812.19;;838.74;775.58;;767.98;;790.81;757.16;;2020.0
5;6.0;758.49;776.99;823.28;863.99;832.84;;801.46;774.82;;794.34;752.01;;2020.0
6;7.0;771.82;779.12;;853.91;839.08;;798.79;777.18;773.76;797.35;;747.61;2020.0
7;8.0;773.12;;;842.05;836.27;764.97;793.88;;773.24;795.05;;;2020.0
8;9.0;766.83;;828.95;851.9;;769.26;786.18;;776.65;797.25;759.25;744.82;2020.0
9;10.0;764.69;788.8;841.06;;;771.96;781.74;784.28;767.87;;753.75;739.45;2020.0
10;11.0;;795.88;834.22;;827.65;767.93;;796.58;764.99;;760.9;738.17;2020.0
11;12.0;;792.48;835.48;;826.05;784.65;;793.61;;;757.42;;2020.0
12;13.0;770.56;788.33;852.06;839.49;821.88;;790.82;792.69;;796.05;757.43;;2020.0
13;14.0;777.66;795.12;;844.57;820.38;;788.22;793.32;768.34;797.66;;733.55;2020.0
14;15.0;772.29;;;848.63;822.93;790.73;787.87;;767.01;798.56;;731.58;2020.0
15;16.0;772.01;;836.66;859.31;;796.87;;;760.01;801.91;766.7;734.23;2020.0
16;17.0;773.36;792.73;850.51;852.52;;779.1;787.5;796.73;761.54;;767.86;735.09;2020.0
17;18.0;;791.95;855.09;;823.86;798.53;;803.4;;;767.05;723.44;2020.0
18;19.0;;796.9;862.69;;820.65;812.19;;796.23;;795.68;758.1;;2020.0
19;20.0;771.38;797.4;867.83;849.45;819.08;;787.26;784.25;;788.27;758.62;;2020.0
20;21.0;769.93;804.74;;856.23;;;786.04;785.84;764.34;786.66;;723.85;2020.0
21;22.0;770.5;;;862.06;806.17;817.33;777.66;;772.83;784.07;;730.7;2020.0
22;23.0;772.12;;851.01;856.51;;816.02;769.06;;773.4;781.41;761.55;728.96;2020.0
23;24.0;771.94;809.82;861.07;858.87;;817.9;767.17;790.88;781.44;;765.96;716.25;2020.0
24;25.0;;810.2;847.04;;805.75;820.68;;786.17;788.02;;772.83;;2020.0
25;26.0;;807.96;843.96;;803.74;813.25;;784.44;;777.72;771.68;;2020.0
26;27.0;776.52;811.1;836.05;859.95;802.1;;768.63;786.91;;779.57;766.0;;2020.0
27;28.0;787.86;816.26;;856.76;816.47;;768.81;784.27;787.15;772.05;;710.26;2020.0
28;29.0;788.13;;;850.41;812.74;;767.82;;784.19;775.56;;710.64;2020.0
29;30.0;788.18;;835.23;836.62;;816.36;759.18;;784.46;770.45;766.69;711.24;2020.0
30;31.0;797.96;;846.3;;;;754.45;779.92;;;;;2020.0
