,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
3287,2019-01-01 00:00:00,,2019-01-01,00:00:00,2019,01,01
3288,2019-01-02 00:00:00,694.77,2019-01-02,00:00:00,2019,01,02
3289,2019-01-03 00:00:00,697.09,2019-01-03,00:00:00,2019,01,03
3290,2019-01-04 00:00:00,697.64,2019-01-04,00:00:00,2019,01,04
3291,2019-01-05 00:00:00,,2019-01-05,00:00:00,2019,01,05
3292,2019-01-06 00:00:00,,2019-01-06,00:00:00,2019,01,06
3293,2019-01-07 00:00:00,688.42,2019-01-07,00:00:00,2019,01,07
3294,2019-01-08 00:00:00,679.69,2019-01-08,00:00:00,2019,01,08
3295,2019-01-09 00:00:00,680.1,2019-01-09,00:00:00,2019,01,09
3296,2019-01-10 00:00:00,678.09,2019-01-10,00:00:00,2019,01,10
3297,2019-01-11 00:00:00,677.58,2019-01-11,00:00:00,2019,01,11
3298,2019-01-12 00:00:00,,2019-01-12,00:00:00,2019,01,12
3299,2019-01-13 00:00:00,,2019-01-13,00:00:00,2019,01,13
3300,2019-01-14 00:00:00,675.15,2019-01-14,00:00:00,2019,01,14
3301,2019-01-15 00:00:00,674.95,2019-01-15,00:00:00,2019,01,15
3302,2019-01-16 00:00:00,673.76,2019-01-16,00:00:00,2019,01,16
3303,2019-01-17 00:00:00,672.73,2019-01-17,00:00:00,2019,01,17
3304,2019-01-18 00:00:00,671.37,2019-01-18,00:00:00,2019,01,18
3305,2019-01-19 00:00:00,,2019-01-19,00:00:00,2019,01,19
3306,2019-01-20 00:00:00,,2019-01-20,00:00:00,2019,01,20
3307,2019-01-21 00:00:00,670.1,2019-01-21,00:00:00,2019,01,21
3308,2019-01-22 00:00:00,672.42,2019-01-22,00:00:00,2019,01,22
3309,2019-01-23 00:00:00,672.26,2019-01-23,00:00:00,2019,01,23
3310,2019-01-24 00:00:00,672.41,2019-01-24,00:00:00,2019,01,24
3311,2019-01-25 00:00:00,672.14,2019-01-25,00:00:00,2019,01,25
3312,2019-01-26 00:00:00,,2019-01-26,00:00:00,2019,01,26
3313,2019-01-27 00:00:00,,2019-01-27,00:00:00,2019,01,27
3314,2019-01-28 00:00:00,667.04,2019-01-28,00:00:00,2019,01,28
3315,2019-01-29 00:00:00,671.29,2019-01-29,00:00:00,2019,01,29
3316,2019-01-30 00:00:00,669.6,2019-01-30,00:00:00,2019,01,30
3317,2019-01-31 00:00:00,666.76,2019-01-31,00:00:00,2019,01,31
3318,2019-02-01 00:00:00,657.81,2019-02-01,00:00:00,2019,02,01
3319,2019-02-02 00:00:00,,2019-02-02,00:00:00,2019,02,02
3320,2019-02-03 00:00:00,,2019-02-03,00:00:00,2019,02,03
3321,2019-02-04 00:00:00,655.39,2019-02-04,00:00:00,2019,02,04
3322,2019-02-05 00:00:00,653.8,2019-02-05,00:00:00,2019,02,05
3323,2019-02-06 00:00:00,652.78,2019-02-06,00:00:00,2019,02,06
3324,2019-02-07 00:00:00,653.9,2019-02-07,00:00:00,2019,02,07
3325,2019-02-08 00:00:00,654.44,2019-02-08,00:00:00,2019,02,08
3326,2019-02-09 00:00:00,,2019-02-09,00:00:00,2019,02,09
3327,2019-02-10 00:00:00,,2019-02-10,00:00:00,2019,02,10
3328,2019-02-11 00:00:00,656.46,2019-02-11,00:00:00,2019,02,11
3329,2019-02-12 00:00:00,660.82,2019-02-12,00:00:00,2019,02,12
3330,2019-02-13 00:00:00,660.49,2019-02-13,00:00:00,2019,02,13
3331,2019-02-14 00:00:00,661.6,2019-02-14,00:00:00,2019,02,14
3332,2019-02-15 00:00:00,665.9,2019-02-15,00:00:00,2019,02,15
3333,2019-02-16 00:00:00,,2019-02-16,00:00:00,2019,02,16
3334,2019-02-17 00:00:00,,2019-02-17,00:00:00,2019,02,17
3335,2019-02-18 00:00:00,663.98,2019-02-18,00:00:00,2019,02,18
3336,2019-02-19 00:00:00,660.82,2019-02-19,00:00:00,2019,02,19
3337,2019-02-20 00:00:00,658.75,2019-02-20,00:00:00,2019,02,20
3338,2019-02-21 00:00:00,654.52,2019-02-21,00:00:00,2019,02,21
3339,2019-02-22 00:00:00,654.33,2019-02-22,00:00:00,2019,02,22
3340,2019-02-23 00:00:00,,2019-02-23,00:00:00,2019,02,23
3341,2019-02-24 00:00:00,,2019-02-24,00:00:00,2019,02,24
3342,2019-02-25 00:00:00,651.36,2019-02-25,00:00:00,2019,02,25
3343,2019-02-26 00:00:00,649.22,2019-02-26,00:00:00,2019,02,26
3344,2019-02-27 00:00:00,649.8,2019-02-27,00:00:00,2019,02,27
3345,2019-02-28 00:00:00,649.92,2019-02-28,00:00:00,2019,02,28
