fecha,value,year,mes,dia
1986-01-01,,1986,01,01
1986-01-02,183.86,1986,01,02
1986-01-03,183.98,1986,01,03
1986-01-04,,1986,01,04
1986-01-05,,1986,01,05
1986-01-06,184.17,1986,01,06
1986-01-07,184.32,1986,01,07
1986-01-08,184.41,1986,01,08
1986-01-09,184.42,1986,01,09
1986-01-10,184.47,1986,01,10
1986-01-11,,1986,01,11
1986-01-12,,1986,01,12
1986-01-13,184.46,1986,01,13
1986-01-14,184.53,1986,01,14
1986-01-15,184.56,1986,01,15
1986-01-16,184.75,1986,01,16
1986-01-17,184.82,1986,01,17
1986-01-18,,1986,01,18
1986-01-19,,1986,01,19
1986-01-20,184.95,1986,01,20
1986-01-21,185.02,1986,01,21
1986-01-22,185.17,1986,01,22
1986-01-23,185.16,1986,01,23
1986-01-24,185.22,1986,01,24
1986-01-25,,1986,01,25
1986-01-26,,1986,01,26
1986-01-27,185.28,1986,01,27
1986-01-28,185.37,1986,01,28
1986-01-29,185.49,1986,01,29
1986-01-30,185.55,1986,01,30
1986-01-31,185.6,1986,01,31
1986-02-01,,1986,02,01
1986-02-02,,1986,02,02
1986-02-03,185.7,1986,02,03
1986-02-04,186.02,1986,02,04
1986-02-05,185.86,1986,02,05
1986-02-06,185.88,1986,02,06
1986-02-07,185.95,1986,02,07
1986-02-08,,1986,02,08
1986-02-09,,1986,02,09
1986-02-10,185.9,1986,02,10
1986-02-11,185.83,1986,02,11
1986-02-12,185.62,1986,02,12
1986-02-13,185.9,1986,02,13
1986-02-14,186.42,1986,02,14
1986-02-15,,1986,02,15
1986-02-16,,1986,02,16
1986-02-17,186.69,1986,02,17
1986-02-18,187.0,1986,02,18
1986-02-19,187.23,1986,02,19
1986-02-20,187.35,1986,02,20
1986-02-21,187.41,1986,02,21
1986-02-22,,1986,02,22
1986-02-23,,1986,02,23
1986-02-24,187.79,1986,02,24
1986-02-25,187.93,1986,02,25
1986-02-26,188.01,1986,02,26
1986-02-27,188.13,1986,02,27
1986-02-28,188.21,1986,02,28
1986-03-01,,1986,03,01
1986-03-02,,1986,03,02
1986-03-03,188.5,1986,03,03
1986-03-04,188.72,1986,03,04
1986-03-05,188.75,1986,03,05
1986-03-06,188.8,1986,03,06
1986-03-07,188.8,1986,03,07
1986-03-08,,1986,03,08
1986-03-09,,1986,03,09
1986-03-10,189.02,1986,03,10
1986-03-11,188.91,1986,03,11
1986-03-12,188.8,1986,03,12
1986-03-13,189.39,1986,03,13
1986-03-14,189.42,1986,03,14
1986-03-15,,1986,03,15
1986-03-16,,1986,03,16
1986-03-17,189.17,1986,03,17
1986-03-18,188.91,1986,03,18
1986-03-19,189.03,1986,03,19
1986-03-20,189.27,1986,03,20
1986-03-21,189.45,1986,03,21
1986-03-22,,1986,03,22
1986-03-23,,1986,03,23
1986-03-24,189.76,1986,03,24
1986-03-25,189.81,1986,03,25
1986-03-26,189.91,1986,03,26
1986-03-27,189.97,1986,03,27
1986-03-28,,1986,03,28
1986-03-29,,1986,03,29
1986-03-30,,1986,03,30
1986-03-31,190.0,1986,03,31
1986-04-01,189.43,1986,04,01
1986-04-02,190.01,1986,04,02
1986-04-03,190.01,1986,04,03
1986-04-04,189.9,1986,04,04
1986-04-05,,1986,04,05
1986-04-06,,1986,04,06
1986-04-07,190.11,1986,04,07
1986-04-08,190.14,1986,04,08
1986-04-09,190.06,1986,04,09
1986-04-10,189.19,1986,04,10
1986-04-11,188.39,1986,04,11
1986-04-12,,1986,04,12
1986-04-13,,1986,04,13
1986-04-14,188.06,1986,04,14
1986-04-15,187.92,1986,04,15
1986-04-16,188.38,1986,04,16
1986-04-17,188.72,1986,04,17
1986-04-18,189.13,1986,04,18
1986-04-19,,1986,04,19
1986-04-20,,1986,04,20
1986-04-21,189.17,1986,04,21
1986-04-22,189.17,1986,04,22
1986-04-23,189.42,1986,04,23
1986-04-24,189.4,1986,04,24
1986-04-25,189.63,1986,04,25
1986-04-26,,1986,04,26
1986-04-27,,1986,04,27
1986-04-28,189.24,1986,04,28
1986-04-29,188.47,1986,04,29
1986-04-30,188.26,1986,04,30
1986-05-01,,1986,05,01
1986-05-02,,1986,05,02
1986-05-03,,1986,05,03
1986-05-04,,1986,05,04
1986-05-05,187.88,1986,05,05
1986-05-06,188.35,1986,05,06
1986-05-07,188.06,1986,05,07
1986-05-08,188.2,1986,05,08
1986-05-09,188.14,1986,05,09
1986-05-10,,1986,05,10
1986-05-11,,1986,05,11
1986-05-12,187.93,1986,05,12
1986-05-13,187.59,1986,05,13
1986-05-14,187.71,1986,05,14
1986-05-15,187.52,1986,05,15
1986-05-16,187.31,1986,05,16
1986-05-17,,1986,05,17
1986-05-18,,1986,05,18
1986-05-19,186.76,1986,05,19
1986-05-20,187.57,1986,05,20
1986-05-21,,1986,05,21
1986-05-22,187.93,1986,05,22
1986-05-23,188.21,1986,05,23
1986-05-24,,1986,05,24
1986-05-25,,1986,05,25
1986-05-26,188.55,1986,05,26
1986-05-27,188.33,1986,05,27
1986-05-28,188.18,1986,05,28
1986-05-29,188.4,1986,05,29
1986-05-30,188.05,1986,05,30
1986-05-31,,1986,05,31
1986-06-01,,1986,06,01
1986-06-02,187.79,1986,06,02
1986-06-03,187.71,1986,06,03
1986-06-04,188.02,1986,06,04
1986-06-05,187.85,1986,06,05
1986-06-06,187.77,1986,06,06
1986-06-07,,1986,06,07
1986-06-08,,1986,06,08
1986-06-09,187.73,1986,06,09
1986-06-10,187.87,1986,06,10
1986-06-11,188.4,1986,06,11
1986-06-12,188.25,1986,06,12
1986-06-13,187.85,1986,06,13
1986-06-14,,1986,06,14
1986-06-15,,1986,06,15
1986-06-16,188.33,1986,06,16
1986-06-17,187.9,1986,06,17
1986-06-18,188.09,1986,06,18
1986-06-19,187.93,1986,06,19
1986-06-20,187.56,1986,06,20
1986-06-21,,1986,06,21
1986-06-22,,1986,06,22
1986-06-23,187.99,1986,06,23
1986-06-24,189.27,1986,06,24
1986-06-25,190.76,1986,06,25
1986-06-26,192.5,1986,06,26
1986-06-27,192.8,1986,06,27
1986-06-28,,1986,06,28
1986-06-29,,1986,06,29
1986-06-30,192.18,1986,06,30
1986-07-01,189.66,1986,07,01
1986-07-02,189.82,1986,07,02
1986-07-03,189.12,1986,07,03
1986-07-04,188.91,1986,07,04
1986-07-05,,1986,07,05
1986-07-06,,1986,07,06
1986-07-07,188.56,1986,07,07
1986-07-08,188.82,1986,07,08
1986-07-09,189.0,1986,07,09
1986-07-10,188.46,1986,07,10
1986-07-11,188.6,1986,07,11
1986-07-12,,1986,07,12
1986-07-13,,1986,07,13
1986-07-14,188.34,1986,07,14
1986-07-15,188.59,1986,07,15
1986-07-16,188.56,1986,07,16
