,Periodo,1.Dólar observado,fecha,hora,year,mes,dia
1096,2013-01-01 00:00:00,,2013-01-01,00:00:00,2013,01,01
1097,2013-01-02 00:00:00,479.96,2013-01-02,00:00:00,2013,01,02
1098,2013-01-03 00:00:00,475.31,2013-01-03,00:00:00,2013,01,03
1099,2013-01-04 00:00:00,473.25,2013-01-04,00:00:00,2013,01,04
1100,2013-01-05 00:00:00,,2013-01-05,00:00:00,2013,01,05
1101,2013-01-06 00:00:00,,2013-01-06,00:00:00,2013,01,06
1102,2013-01-07 00:00:00,473.13,2013-01-07,00:00:00,2013,01,07
1103,2013-01-08 00:00:00,471.47,2013-01-08,00:00:00,2013,01,08
1104,2013-01-09 00:00:00,471.36,2013-01-09,00:00:00,2013,01,09
1105,2013-01-10 00:00:00,471.15,2013-01-10,00:00:00,2013,01,10
1106,2013-01-11 00:00:00,470.67,2013-01-11,00:00:00,2013,01,11
1107,2013-01-12 00:00:00,,2013-01-12,00:00:00,2013,01,12
1108,2013-01-13 00:00:00,,2013-01-13,00:00:00,2013,01,13
1109,2013-01-14 00:00:00,471.92,2013-01-14,00:00:00,2013,01,14
1110,2013-01-15 00:00:00,472.62,2013-01-15,00:00:00,2013,01,15
1111,2013-01-16 00:00:00,474.9,2013-01-16,00:00:00,2013,01,16
1112,2013-01-17 00:00:00,475.47,2013-01-17,00:00:00,2013,01,17
1113,2013-01-18 00:00:00,473.06,2013-01-18,00:00:00,2013,01,18
1114,2013-01-19 00:00:00,,2013-01-19,00:00:00,2013,01,19
1115,2013-01-20 00:00:00,,2013-01-20,00:00:00,2013,01,20
1116,2013-01-21 00:00:00,471.63,2013-01-21,00:00:00,2013,01,21
1117,2013-01-22 00:00:00,472.02,2013-01-22,00:00:00,2013,01,22
1118,2013-01-23 00:00:00,471.45,2013-01-23,00:00:00,2013,01,23
1119,2013-01-24 00:00:00,470.98,2013-01-24,00:00:00,2013,01,24
1120,2013-01-25 00:00:00,470.68,2013-01-25,00:00:00,2013,01,25
1121,2013-01-26 00:00:00,,2013-01-26,00:00:00,2013,01,26
1122,2013-01-27 00:00:00,,2013-01-27,00:00:00,2013,01,27
1123,2013-01-28 00:00:00,470.99,2013-01-28,00:00:00,2013,01,28
1124,2013-01-29 00:00:00,472.56,2013-01-29,00:00:00,2013,01,29
1125,2013-01-30 00:00:00,472.73,2013-01-30,00:00:00,2013,01,30
1126,2013-01-31 00:00:00,471.4,2013-01-31,00:00:00,2013,01,31
1127,2013-02-01 00:00:00,471.44,2013-02-01,00:00:00,2013,02,01
1128,2013-02-02 00:00:00,,2013-02-02,00:00:00,2013,02,02
1129,2013-02-03 00:00:00,,2013-02-03,00:00:00,2013,02,03
1130,2013-02-04 00:00:00,471.64,2013-02-04,00:00:00,2013,02,04
1131,2013-02-05 00:00:00,472.27,2013-02-05,00:00:00,2013,02,05
1132,2013-02-06 00:00:00,472.39,2013-02-06,00:00:00,2013,02,06
1133,2013-02-07 00:00:00,473.23,2013-02-07,00:00:00,2013,02,07
1134,2013-02-08 00:00:00,472.62,2013-02-08,00:00:00,2013,02,08
1135,2013-02-09 00:00:00,,2013-02-09,00:00:00,2013,02,09
1136,2013-02-10 00:00:00,,2013-02-10,00:00:00,2013,02,10
1137,2013-02-11 00:00:00,472.55,2013-02-11,00:00:00,2013,02,11
1138,2013-02-12 00:00:00,472.71,2013-02-12,00:00:00,2013,02,12
1139,2013-02-13 00:00:00,472.2,2013-02-13,00:00:00,2013,02,13
1140,2013-02-14 00:00:00,470.67,2013-02-14,00:00:00,2013,02,14
1141,2013-02-15 00:00:00,470.83,2013-02-15,00:00:00,2013,02,15
1142,2013-02-16 00:00:00,,2013-02-16,00:00:00,2013,02,16
1143,2013-02-17 00:00:00,,2013-02-17,00:00:00,2013,02,17
1144,2013-02-18 00:00:00,470.87,2013-02-18,00:00:00,2013,02,18
1145,2013-02-19 00:00:00,471.89,2013-02-19,00:00:00,2013,02,19
1146,2013-02-20 00:00:00,472.21,2013-02-20,00:00:00,2013,02,20
1147,2013-02-21 00:00:00,472.83,2013-02-21,00:00:00,2013,02,21
1148,2013-02-22 00:00:00,473.6,2013-02-22,00:00:00,2013,02,22
1149,2013-02-23 00:00:00,,2013-02-23,00:00:00,2013,02,23
1150,2013-02-24 00:00:00,,2013-02-24,00:00:00,2013,02,24
1151,2013-02-25 00:00:00,473.18,2013-02-25,00:00:00,2013,02,25
1152,2013-02-26 00:00:00,473.02,2013-02-26,00:00:00,2013,02,26
1153,2013-02-27 00:00:00,473.44,2013-02-27,00:00:00,2013,02,27
1154,2013-02-28 00:00:00,473.3,2013-02-28,00:00:00,2013,02,28
1155,2013-03-01 00:00:00,472.96,2013-03-01,00:00:00,2013,03,01
1156,2013-03-02 00:00:00,,2013-03-02,00:00:00,2013,03,02
1157,2013-03-03 00:00:00,,2013-03-03,00:00:00,2013,03,03
1158,2013-03-04 00:00:00,474.31,2013-03-04,00:00:00,2013,03,04
1159,2013-03-05 00:00:00,474.82,2013-03-05,00:00:00,2013,03,05
1160,2013-03-06 00:00:00,473.01,2013-03-06,00:00:00,2013,03,06
1161,2013-03-07 00:00:00,472.7,2013-03-07,00:00:00,2013,03,07
1162,2013-03-08 00:00:00,472.06,2013-03-08,00:00:00,2013,03,08
1163,2013-03-09 00:00:00,,2013-03-09,00:00:00,2013,03,09
1164,2013-03-10 00:00:00,,2013-03-10,00:00:00,2013,03,10
1165,2013-03-11 00:00:00,471.9,2013-03-11,00:00:00,2013,03,11
1166,2013-03-12 00:00:00,471.69,2013-03-12,00:00:00,2013,03,12
1167,2013-03-13 00:00:00,471.16,2013-03-13,00:00:00,2013,03,13
1168,2013-03-14 00:00:00,471.28,2013-03-14,00:00:00,2013,03,14
1169,2013-03-15 00:00:00,471.1,2013-03-15,00:00:00,2013,03,15
1170,2013-03-16 00:00:00,,2013-03-16,00:00:00,2013,03,16
1171,2013-03-17 00:00:00,,2013-03-17,00:00:00,2013,03,17
1172,2013-03-18 00:00:00,471.63,2013-03-18,00:00:00,2013,03,18
1173,2013-03-19 00:00:00,472.38,2013-03-19,00:00:00,2013,03,19
1174,2013-03-20 00:00:00,472.34,2013-03-20,00:00:00,2013,03,20
1175,2013-03-21 00:00:00,472.79,2013-03-21,00:00:00,2013,03,21
1176,2013-03-22 00:00:00,473.03,2013-03-22,00:00:00,2013,03,22
1177,2013-03-23 00:00:00,,2013-03-23,00:00:00,2013,03,23
1178,2013-03-24 00:00:00,,2013-03-24,00:00:00,2013,03,24
1179,2013-03-25 00:00:00,472.77,2013-03-25,00:00:00,2013,03,25
1180,2013-03-26 00:00:00,472.6,2013-03-26,00:00:00,2013,03,26
1181,2013-03-27 00:00:00,472.61,2013-03-27,00:00:00,2013,03,27
1182,2013-03-28 00:00:00,472.54,2013-03-28,00:00:00,2013,03,28
1183,2013-03-29 00:00:00,,2013-03-29,00:00:00,2013,03,29
1184,2013-03-30 00:00:00,,2013-03-30,00:00:00,2013,03,30
1185,2013-03-31 00:00:00,,2013-03-31,00:00:00,2013,03,31
1186,2013-04-01 00:00:00,472.03,2013-04-01,00:00:00,2013,04,01
1187,2013-04-02 00:00:00,472.51,2013-04-02,00:00:00,2013,04,02
1188,2013-04-03 00:00:00,472.55,2013-04-03,00:00:00,2013,04,03
1189,2013-04-04 00:00:00,472.38,2013-04-04,00:00:00,2013,04,04
1190,2013-04-05 00:00:00,470.83,2013-04-05,00:00:00,2013,04,05
1191,2013-04-06 00:00:00,,2013-04-06,00:00:00,2013,04,06
1192,2013-04-07 00:00:00,,2013-04-07,00:00:00,2013,04,07
1193,2013-04-08 00:00:00,469.28,2013-04-08,00:00:00,2013,04,08
1194,2013-04-09 00:00:00,467.38,2013-04-09,00:00:00,2013,04,09
1195,2013-04-10 00:00:00,466.5,2013-04-10,00:00:00,2013,04,10
1196,2013-04-11 00:00:00,468.54,2013-04-11,00:00:00,2013,04,11
1197,2013-04-12 00:00:00,468.74,2013-04-12,00:00:00,2013,04,12
1198,2013-04-13 00:00:00,,2013-04-13,00:00:00,2013,04,13
1199,2013-04-14 00:00:00,,2013-04-14,00:00:00,2013,04,14
